project_id,project_name,client_name,methodology,start_date,end_date,sample_size,status,budget,country,research_topic,project_manager,notes,workspace_id,budget_eur
PRJ-001,Megaditta Consumer Sentiment Q4,Megaditta SpA,CAWI,2024-01-15T00:00:00Z,2024-02-28T00:00:00Z,1500,Completed,15000,IT,Brand Awareness,Mario Fantozzi,Target: 18-65 adults,WS-001,15000.0
PRJ-001,Megaditta Consumer Sentiment Q4,Megaditta S.p.A.,CAWI,2024-01-15T00:00:00Z,2024-02-28T00:00:00Z,1500,Completed,€15000,Italy,Brand Awareness,Mario Fantozzi,Duplicate entry - ignore,WS-001,15000.0
PRJ-001,Megaditta Consumer Sentiment Q4,Megaditta SpA,CAWI,2024-01-15T00:00:00Z,2024-02-28T00:00:00Z,1500,Completed,15000.00,IT,brand awareness,M. Fantozzi,,WS-001,15000.0
PRJ-002,Electric Vehicle Adoption Study,GreenTech Innovations,CATI,2024-01-03T00:00:00Z,2024-04-15T00:00:00Z,800,In Progress,22000,DE,Sustainability,Silvana Filini,Phone interviews,WS-002,22000.0
PRJ-003,Smartphone Usage Patterns,TechVision Labs,Mixed Methods,2024-03-01T00:00:00Z,2024-05-15T00:00:00Z,2000,Completed,35000,UK,Technology,Renzo Coboldi,CAWI + Focus Groups,WS-002,35000.0
PRJ-004,Food Delivery Preferences,QuickBite Inc,CAWI,2024-10-02T00:00:00Z,2024-03-20T00:00:00Z,1200,Completed,18000,FR,Consumer Behavior,Pina Fantozzi,Urban areas only,WS-001,18000.0
PRJ-005,Workplace Satisfaction Survey,Contabilità Industriale srl,CAWI,2024-01-04T00:00:00Z,,950,In Progress,12000,IT,HR & Employee Engagement,Rag. Filini,Expected completion June 2024,WS-001,12000.0
PRJ-006,Gaming Habits Youth Study,PixelPlay Entertainment,CAWI,2024-01-20T00:00:00Z,2024-02-25T00:00:00Z,1800,Completed,28000,US,Entertainment,Anna Mazzafera Buratti,Ages 13-24,WS-002,28000.0
PRJ-007,Healthcare Digital Transformation,MediCare Solutions,CATI,2024-03-05T00:00:00Z,,600,On Hold,0,IT,Healthcare,Mario Fantozzi,Budget pending approval,WS-003,0.0
PRJ-008,Luxury Fashion Brand Perception,Haute Couture Milano,Focus Group,2024-02-15T00:00:00Z,2024-10-03T00:00:00Z,45,Completed,8500,IT,Luxury & Fashion,Luciana Calboni,12 sessions conducted,WS-001,8500.0
PRJ-009,Smart Home Adoption,HomeAutomation Pro,CAWI,2024-03-15T00:00:00Z,2024-01-05T00:00:00Z,1400,In Progress,19000,ES,Technology,,,WS-002,19000.0
