interaction_id,panelist_id,interaction_date,channel,issue_type,issue_description,resolution,resolved,resolution_time_hours,agent_name,satisfaction_score,project_ref,workspace_id,project_id,panelist_email_hash,panelist_phone_hash
INT-20240115-001,10847,2024-01-15T09:23:45Z,Email,Technical Support,"Candidato non riesce ad accedere al sondaggio, riceve errore 404",Reset password e invio nuovo link. Issue risolta.,True,2.5,Laura Bianchi,5.0,PRJ-001,WS-001,PRJ-001,e66f099ed3c85265,1fcb8b9baf2bdd7b
INT-20240118-002,10923,2024-01-18T14:30:00Z,Chat,Payment Inquiry,Domanda su quando verrà accreditato l'incentivo per il sondaggio completato,Spiegato che gli incentivi vengono processati entro 15 giorni lavorativi,True,0.25,Marco Rossi,4.0,prj-001,WS-001,PRJ-001,8102364da1418e7c,
INT-20240120-003,10847,2024-01-20T16:45:12Z,Phone,General Question,Il panelista chiede informazioni sulla privacy e come vengono utilizzati i suoi dati,Fornita informativa privacy e spiegato processo di anonimizzazione,True,0.5,Laura Bianchi,5.0,PRJ-001,WS-001,PRJ-001,e66f099ed3c85265,fc6e9bfe04afc56e
INT-20240125-004,11204,2024-01-25T10:15:33Z,Email,Complaint,"Sondaggio troppo lungo, il panelista ha abbandonato dopo 30 minuti","Scuse per l'inconveniente, offerto bonus compensativo",True,4.0,Giulia Verdi,3.0,PRJ-003,WS-002,PRJ-003,b3071fd47af0b66b,
INT-20240128-005,11456,2024-01-28T11:20:00Z,Chat,Technical Support,"Video del focus group non si carica, problema di compatibilità browser",Suggerito di usare Chrome invece di Internet Explorer. Problema risolto.,True,1.0,Marco Rossi,4.0,PRJ-008,WS-001,PRJ-008,07d58d427355fdda,
INT-20240201-006,11589,2024-01-02T15:00:00Z,Phone,Profile Update,Richiesta di aggiornamento indirizzo email e numero di telefono,Profilo aggiornato con successo nel sistema,True,0.5,Laura Bianchi,,,WS-001,,f3cd204a446f5126,6672c754bd80e137
INT-20240205-007,10923,2024-05-02T09:30:22Z,Email,Survey Invitation,Panelista segnala di non ricevere più inviti ai sondaggi,Verificato profilo: era stato erroneamente disattivato. Riattivato.,True,3.0,Giulia Verdi,5.0,N/A,WS-002,,8102364da1418e7c,8326724cd3e7c541
INT-20240208-008,11789,2024-02-08T13:45:00Z,Chat,Technical Support,Errore durante il caricamento di foto per il task del sondaggio qualitativo,Problema di dimensione file. Spiegato come ridimensionare. Issue risolta.,True,1.5,Marco Rossi,4.0,PRJ-013,WS-002,PRJ-013,a4a28667c6cd1491,
INT-20240212-009,12003,2024-12-02T10:00:00Z,Phone,Payment Inquiry,Domanda su modalità di pagamento incentivi: preferisce bonifico invece di voucher,Aggiornata preferenza di pagamento nel profilo,True,0.75,Laura Bianchi,5.0,,WS-001,,7211711eff4e4647,acf73ecf0e522822
INT-20240215-010,10847,2024-02-15T14:20:11Z,Email,Complaint,Panelista lamenta di essere stato escluso da un sondaggio dopo le domande di screening,Spiegato criterio di eligibilità. Non può partecipare a questo specifico progetto.,True,2.0,Giulia Verdi,2.0,PRJ-018,WS-002,PRJ-018,e66f099ed3c85265,1fcb8b9baf2bdd7b
INT-20240220-011,12156,2024-02-20T16:30:00Z,Chat,General Question,Richiesta informazioni su come funziona il programma fedeltà e i punti accumulati,Spiegato sistema punti e come riscattarli. Inviato link al regolamento.,True,0.5,Marco Rossi,4.0,,WS-001,,a866e1cc85417c13,5feceb66ffc86f38
INT-20240225-012,11204,2024-02-25T11:15:00Z,Phone,Technical Support,"Impossibile completare sondaggio mobile, app si blocca all'ultima domanda",Bug confermato e segnalato al team tecnico. Compenso comunque erogato.,True,5.0,Laura Bianchi,4.0,PRJ-024,WS-002,PRJ-024,b3071fd47af0b66b,85e518b21711deaa
INT-20240228-013,12389,2024-02-28T09:00:00Z,Email,Profile Update,Richiesta di rimozione dal panel per mancanza di tempo,Profilo sospeso come richiesto. Possibilità di riattivazione in futuro.,True,1.0,Giulia Verdi,,N/A,WS-001,,028312cbbb6aaee7,
INT-20240303-014,11456,2024-03-03T13:45:30Z,Chat,Payment Inquiry,Non ha ricevuto il voucher Amazon promesso per il sondaggio completato 3 settimane fa,Verificato: voucher era stato inviato a vecchia email. Reinviato a email corretta.,True,2.0,Marco Rossi,3.0,PRJ-006,WS-002,PRJ-006,07d58d427355fdda,15d9b6a88d6c0a90
INT-20240308-015,12567,2024-03-08T10:20:00Z,Email,Complaint,Sondaggio conteneva domande troppo personali su situazione finanziaria,Scuse per il disagio. Spiegato che tutte le risposte sono anonime e aggregate.,True,3.5,Giulia Verdi,3.0,PRJ-014,WS-003,PRJ-014,ae888d8a3b480b03,
INT-20240312-016,10923,2024-12-03T15:30:00Z,Phone,General Question,Domanda su quante volte può partecipare a sondaggi in un mese,"Spiegato che non c'è limite, dipende dall'eligibilità per i vari progetti",True,0.25,Laura Bianchi,5.0,,WS-002,,8102364da1418e7c,8326724cd3e7c541
INT-20240315-017,11789,2024-03-15T11:00:00Z,Chat,Technical Support,"Link al focus group online Zoom non funziona, errore di autenticazione",Nuovo link generato e inviato via email. Panelista connessa con successo.,True,0.5,Marco Rossi,5.0,PRJ-008,WS-001,PRJ-008,a4a28667c6cd1491,
INT-20240320-018,12003,2024-03-20T09:15:44Z,Email,Survey Invitation,Richiesta di partecipare a più sondaggi nel settore costruzioni/immobiliare,Aggiunto tag professionale al profilo per targeting specifico,True,1.5,Giulia Verdi,5.0,,WS-001,,7211711eff4e4647,acf73ecf0e522822
INT-20240325-019,12789,2024-03-25T14:00:00Z,Phone,Payment Inquiry,Richiesta fattura per incentivo ricevuto (partita IVA),"Spiegato che gli incentivi sono corrispettivi, non richiedono fattura. Info fiscali fornite.",True,1.0,Laura Bianchi,4.0,PRJ-005,WS-001,PRJ-005,c210a21821f8f78e,5dd18256e8946ffa
INT-20240328-020,10847,2024-03-28T16:45:00Z,Chat,General Question,Domanda su come referral program: può invitare amici?,Spiegato programma refer-a-friend con bonus per entrambi. Link di invito inviato.,True,0.5,Marco Rossi,5.0,N/A,WS-001,,e66f099ed3c85265,1fcb8b9baf2bdd7b
INT-20250815-021,11204,2025-08-15T10:30:00Z,Email,Complaint,"Panelista segnala problemi con il nuovo portale, non riesce a visualizzare lo storico sondaggi",Segnalato al team tecnico. Fix in corso.,False,,Laura Bianchi,,PRJ-024,WS-002,PRJ-024,3c437f3801faa245,85e518b21711deaa
INT-20240401-022,10847,2024-04-01T00:00:00Z,Phone,Technical Support,Panelista con stesso ID ma email e telefono diversi - possibile errore nel sistema,Verificato: si tratta dello stesso panelista con dati di contatto aggiornati,True,2.0,Giulia Verdi,4.0,prj-001,WS-001,PRJ-001,ac73eb8611e90a5d,0738b45cec4d99e1
INT-20240405-023,13001,2024-05-04T10:30:00Z,Email,Technical Support,"Sondaggio non si visualizza correttamente su iPhone, layout spostato",Problema noto con iOS 17.4. Workaround: usare Safari invece di Chrome.,True,1.5,Laura Bianchi,4.0,PRJ-033,WS-001,PRJ-033,017836ff21894c77,0466d99e38486dbf
INT-20240408-024,13102,2024-04-08T09:15:00Z,Chat,Payment Inquiry,Richiesta di cambio metodo di pagamento da voucher a PayPal,PayPal non disponibile al momento. Proposto bonifico come alternativa.,True,0.5,Marco Rossi,3.0,PRJ-034,WS-003,PRJ-034,67afb67badd60d4c,fc3148c6db01531f
INT-20240410-025,13205,2024-10-04T14:45:22Z,Email,Complaint,Il panelista ha completato il sondaggio ma il sistema non ha registrato le risposte,Verificato: sessione scaduta dopo 45 minuti. Riaperto sondaggio con estensione timeout.,True,6.0,Giulia Verdi,2.0,PRJ-036,WS-002,PRJ-036,84b5eec38ae044d6,
INT-20240412-026,11589,2024-04-12T16:00:00Z,Phone,Survey Invitation,Panelista interessata a partecipare a focus group su prodotti per bambini,Inserita nella lista di reclutamento per PRJ-034. Contatto previsto la prossima settimana.,True,0.25,Laura Bianchi,5.0,PRJ-034,WS-003,PRJ-034,f3cd204a446f5126,6672c754bd80e137
